State,Region
VT,North-East
ME,North-East
NH,North-East
MA,North-East
RI,North-East
CT,North-East
NY,North-East
PA,North-East
NJ,North-East
WI,Mid-West
MI,Mid-West
IL,Mid-West
IN,Mid-West
OH,Mid-West
ND,Mid-West
SD,Mid-West
NE,Mid-West
KS,Mid-West
MN,Mid-West
IA,Mid-West
MO,Mid-West
DE,South-East
MD,South-East
DC,South-East
VA,South-East
WV,South-East
NC,South-East
SC,South-East
GA,South-East
FL,South-East
KY,South-East
TN,South-East
MS,South-East
AL,South-East
AR,South-East
LA,South-East
OK,South-West
TX,South-West
NM,South-West
AZ,South-West
CA,West
NV,West
UT,West
CO,West
WY,West
ID,West
OR,West
WA,West
MT,West
AK,West
HI,West
